RowNumber,CustomerId,Surname,education,Geography,Gender,Age,Tenure,marital,IsActiveMember,EstimatedSalary,HasApp,HasLoan,HasInsurance,HasCrCard,NumOfProducts
50,15771873,Buccho,tertiary,Accra,Female,37,5,single,0,194099.12,1,0,0,1,2
51,15616550,Chidiebele,secondary,Accra,Male,44,5,married,0,198059.16,1,0,0,0,1
52,15768193,Trevisani,tertiary,Accra,Male,36,5,divorced,0,86424.57,1,0,0,1,2
53,15683553,O'Brien,tertiary,Accra,Female,33,5,married,0,116978.19,1,0,0,1,2
54,15702298,Parkhill,secondary,Accra,Male,41,5,single,0,164040.94,1,0,0,0,1
55,15569590,Yoo,secondary,Accra,Male,42,5,single,0,40014.76,1,0,0,0,1
56,15760861,Phillipps,tertiary,Accra,Male,43,5,single,1,113410.49,1,0,0,1,2
57,15630053,Tsao,tertiary,Accra,Male,45,5,single,0,87107.57,0,0,0,1,1
58,15647091,Endrizzi,unknown,Accra,Male,19,2,single,0,45613.75,0,0,0,0,0
59,15623944,T'ien,unknown,Accra,Female,66,5,single,0,1643.11,1,0,0,0,1
60,15804771,Velazquez,primary,Accra,Male,51,5,married,1,46775.28,1,0,0,0,1
61,15651280,Hunter,tertiary,Accra,Male,35,5,married,0,84509.57,0,0,0,1,1
62,15773469,Clark,secondary,Accra,Female,27,5,divorced,0,126494.82,1,0,0,0,1
63,15702014,Jeffrey,primary,Accra,Male,33,5,married,0,178798.13,0,0,0,0,0
64,15751208,Pirozzi,secondary,Accra,Male,56,5,married,1,99398.36,0,0,0,0,0
65,15592461,Jackson,unknown,Accra,Male,26,5,married,1,92840.67,0,0,0,0,0
66,15789484,Hammond,tertiary,Accra,Female,36,5,married,1,27758.36,0,0,0,1,1
67,15696061,Brownless,tertiary,Accra,Female,34,5,married,0,110431.51,0,0,0,1,1
68,15641582,Chibugo,tertiary,Accra,Male,43,5,divorced,1,196673.28,1,0,0,1,2
69,15638424,Glauert,secondary,Accra,Female,35,5,married,1,113656.85,1,0,0,0,1
70,15755648,Pisano,secondary,Accra,Female,21,3,single,0,18203,1,0,0,0,1
71,15703793,Konovalova,secondary,Accra,Male,58,5,married,0,28373.86,1,0,0,0,1
72,15620344,McKee,secondary,Accra,Male,29,5,married,0,33953.87,0,0,0,0,0
73,15812518,Palermo,secondary,Accra,Female,37,5,married,1,44203.55,0,0,0,0,0
74,15779052,Ballard,primary,Accra,Female,25,5,married,1,58426.81,0,0,0,0,0
75,15770811,Wallace,secondary,Accra,Male,36,5,married,1,145562.4,0,0,0,0,0
76,15780961,Cavenagh,secondary,Accra,Female,21,3,married,0,22388,0,0,0,0,0
77,15614049,Hu,secondary,Accra,Male,55,5,married,1,139161.64,0,0,0,0,0
78,15662085,Read,secondary,Accra,Female,32,5,divorced,1,148210.64,0,0,0,0,0
79,15575185,Bushell,secondary,Accra,Male,33,5,divorced,1,194239.63,0,0,0,0,0
80,15803136,Postle,secondary,Accra,Female,41,5,divorced,0,98301.61,0,0,0,0,0
81,15706021,Buley,secondary,Accra,Female,34,5,single,0,171413.66,0,0,0,0,0
82,15663706,Leonard,secondary,Accra,Female,32,5,divorced,0,136458.19,0,0,0,0,0
83,15641732,Mills,secondary,Accra,Female,36,5,single,0,26019.59,0,0,0,0,0
84,15701164,Onyeorulu,secondary,Accra,Female,34,5,married,1,159235.29,0,0,0,0,0
85,15738751,Beit,tertiary,Accra,Female,46,5,married,0,1907.66,0,0,0,1,1
86,15805254,Ndukaku,primary,Accra,Female,75,5,married,1,114675.75,1,0,0,0,1
87,15762418,Gant,secondary,Accra,Male,22,3,married,0,128643.35,0,0,0,0,0
88,15625759,Rowley,secondary,Accra,Male,30,5,married,0,151869.35,1,0,0,0,1
89,15622897,Sharpe,secondary,Accra,Female,46,5,divorced,0,93251.42,0,0,0,0,0
90,15767954,Osborne,secondary,Accra,Female,28,5,married,1,156791.36,1,0,0,0,1
91,15757535,Heap,secondary,Accra,Female,44,5,single,1,174205.22,1,0,0,0,1
92,15731511,Ritchie,secondary,Accra,Male,45,5,married,0,147132.46,0,0,0,0,0
93,15809248,Cole,secondary,Accra,Female,36,5,married,0,109614.57,1,0,0,0,1
94,15640635,Capon,unknown,Accra,Male,29,5,married,1,172290.61,1,0,0,0,1
95,15676966,Capon,secondary,Accra,Male,42,5,divorced,1,85982.47,0,0,0,0,0
96,15699461,Fiorentini,tertiary,Accra,Male,35,5,married,1,121277.78,1,0,0,1,2
97,15738721,Graham,secondary,Accra,Male,41,5,married,1,64595.25,1,0,0,0,1
98,15693683,Yuille,tertiary,Accra,Male,29,5,married,1,197276.13,1,0,0,1,2
99,15604348,Allard,secondary,Accra,Male,22,3,married,0,99645.04,1,0,0,0,1
100,15633059,Fanucci,tertiary,Accra,Male,34,5,married,0,6534.18,1,0,0,1,2
101,15808582,Fu,secondary,Accra,Female,40,5,married,1,161848.03,0,0,0,0,0
102,15743192,Hung,primary,Accra,Female,44,5,married,0,167162.43,1,0,0,0,1
103,15580146,Hung,primary,Accra,Male,31,5,married,0,41970.72,1,0,0,0,1
104,15776605,Bradley,primary,Accra,Male,36,5,married,0,60536.56,1,0,0,0,1
105,15804919,Dunbabin,tertiary,Accra,Female,65,5,single,1,177655.68,1,0,0,1,2
106,15613854,Mauldon,secondary,Accra,Female,46,5,married,1,30984.59,0,0,0,0,0
107,15599195,Stiger,tertiary,Accra,Male,32,5,married,1,10054.53,1,0,0,1,2
108,15812878,Parsons,secondary,Accra,Female,36,5,married,1,36976.52,0,0,0,0,0
109,15602312,Walkom,secondary,Accra,Male,33,5,single,0,71862.79,1,0,0,0,1
110,15744689,T'ang,tertiary,Accra,Male,35,5,married,0,99449.86,1,0,0,1,2
111,15803526,Eremenko,secondary,Accra,Male,30,5,divorced,1,63082.88,1,0,0,0,1
112,15665790,Rowntree,secondary,Accra,Male,39,5,divorced,0,27231.26,0,0,0,0,0
113,15715951,Thorpe,primary,Accra,Male,42,5,married,0,86797.41,1,0,0,0,1
114,15591100,Chiemela,primary,Accra,Male,36,5,married,1,22994.32,0,0,0,0,0
115,15609618,Fanucci,primary,Accra,Male,28,5,divorced,1,101300.94,0,0,0,0,0
116,15675522,Ko,secondary,Accra,Female,30,5,married,1,74169.13,0,0,0,0,0
117,15705512,Welch,secondary,Accra,Female,37,5,married,0,115638.29,1,0,0,0,1
118,15698028,Duncan,tertiary,Accra,Female,41,5,single,0,31766.3,1,0,0,1,2
119,15661670,Chidozie,tertiary,Accra,Female,31,5,divorced,0,199725.39,1,0,0,1,2
120,15600781,Wu,primary,Accra,Male,34,5,married,0,120834.48,1,0,0,0,1
121,15682472,Culbreth,unknown,Accra,Male,34,5,divorced,0,38131.77,1,0,0,0,1
122,15580203,Kennedy,secondary,Accra,Male,39,5,married,0,100130.95,1,0,0,0,1
123,15690673,Cameron,unknown,Accra,Female,39,5,married,0,141069.88,0,0,0,0,0
124,15760085,Calabresi,secondary,Accra,Female,48,5,married,1,198129.36,0,0,0,0,0
125,15779659,Zetticci,tertiary,Accra,Female,28,5,married,0,183646.41,1,0,0,1,2
126,15627360,Fuller,secondary,Accra,Male,42,5,single,0,110265.24,1,0,0,0,1
127,15671137,MacDonald,secondary,Accra,Female,52,5,single,1,8636.05,1,0,0,0,1
128,15782688,Piccio,secondary,Accra,Male,56,5,married,0,46824.08,1,0,0,0,1
129,15575492,Kennedy,secondary,Accra,Female,41,5,married,0,171378.77,1,0,0,0,1
130,15591607,Fernie,secondary,Accra,Male,24,5,married,0,167256.35,0,0,0,0,0
131,15740404,He,unknown,Accra,Female,34,5,married,1,124226.16,0,0,0,0,0
132,15718369,Kaodilinakachukwu,secondary,Accra,Female,33,5,single,1,114935.21,0,0,0,0,0
133,15677871,Cocci,secondary,Accra,Male,38,5,single,1,35608.88,0,0,0,0,0
134,15642004,Alekseeva,secondary,Accra,Male,25,5,single,1,16459.37,1,0,0,0,1
135,15712543,Chinweike,tertiary,Accra,Male,39,5,single,1,124411.08,1,0,0,1,2
136,15584518,Arthur,secondary,Accra,Female,50,5,married,1,34941.23,0,0,0,0,0
137,15802381,Li,secondary,Accra,Female,34,5,single,1,167784.28,0,0,0,0,0
138,15610156,Ma,unknown,Accra,Male,40,5,single,1,93165.34,1,0,0,0,1
139,15594408,Chia,secondary,Accra,Female,48,5,married,0,75161.25,0,0,0,0,0
140,15640905,Vasin,secondary,Accra,Female,35,5,married,1,8590.83,0,0,0,0,0
141,15698932,Groves,primary,Accra,Male,44,5,divorced,0,189543.9,0,0,0,0,0
142,15724944,Tien,secondary,Accra,Male,34,5,single,1,180427.24,1,0,0,0,1
143,15628145,Forwood,tertiary,Accra,Female,43,5,married,1,193318.33,1,0,0,1,2
144,15713483,Greeves,secondary,Accra,Male,52,5,married,0,159123.82,0,0,0,0,0
145,15612350,Taylor,secondary,Accra,Female,31,5,married,0,126213.84,0,0,0,0,0
146,15800703,Madukwe,secondary,Accra,Female,21,3,married,1,54141.5,0,0,0,0,0
147,15705707,Bennelong,primary,Accra,Female,29,5,divorced,0,141075.51,1,0,0,0,1
148,15754105,Olisanugo,secondary,Accra,Male,37,5,married,0,24495.03,1,0,0,0,1
149,15703264,Chukwufumnanya,primary,Accra,Male,44,5,married,0,74836.34,1,0,0,0,1
150,15794413,Harris,primary,Accra,Male,32,5,married,1,878.87,0,0,0,0,0
151,15650237,Morgan,unknown,Accra,Female,32,5,married,0,89520.75,0,0,0,0,0
152,15759618,Alexeeva,secondary,Accra,Female,48,5,single,0,149892.79,0,0,0,0,0
153,15811589,Metcalfe,tertiary,Accra,Male,42,5,married,0,180800.42,1,0,0,1,2
154,15689044,Humphries,secondary,Accra,Male,37,5,married,0,98646.22,1,0,0,0,1
155,15709368,Milne,primary,Accra,Female,43,5,married,1,109041.53,0,0,0,0,0
156,15679145,Chou,secondary,Accra,Male,57,5,married,0,17941.16,0,0,0,0,0
157,15655007,Li,unknown,Accra,Female,33,5,married,0,82996.47,0,0,0,0,0
158,15623595,Clayton,secondary,Accra,Female,28,5,divorced,1,92067.35,0,0,0,0,0
159,15589975,Maclean,secondary,Accra,Female,73,5,married,1,104719.66,0,0,0,0,0
160,15804017,Chigolum,secondary,Accra,Female,33,5,married,0,112687.57,0,0,0,0,0
161,15692132,Wilkinson,unknown,Accra,Female,22,3,married,1,84699.56,0,0,0,0,0
162,15641122,Wei,tertiary,Accra,Male,30,5,single,0,83473.82,1,0,0,1,2
163,15630910,Treacy,secondary,Accra,Female,49,5,single,0,47125.11,1,0,0,0,1
164,15680772,Hu,secondary,Accra,Female,36,5,married,1,106977.8,1,0,0,0,1
165,15658929,Taverner,secondary,Accra,Male,29,5,married,0,55582.54,1,0,0,0,1
166,15585388,Sherman,secondary,Accra,Male,31,5,single,1,139874.43,0,0,0,0,0
167,15724623,Taubman,tertiary,Accra,Female,24,4,married,0,162503.48,1,0,0,1,2
168,15588537,Robinson,secondary,Accra,Female,41,5,married,0,196499.96,1,0,0,0,1
169,15574692,Pinto,tertiary,Accra,Female,39,5,married,0,40721.24,1,0,0,1,2
170,15611325,Wood,primary,Accra,Male,24,4,married,0,53134.3,1,0,0,0,1
171,15587562,Hawkins,secondary,Accra,Female,29,5,married,0,164017.89,1,0,0,0,1
172,15613172,Sun,secondary,Accra,Male,27,5,married,0,155996.96,0,0,0,0,0
173,15651022,Yost,unknown,Accra,Male,44,5,married,0,5472.7,1,0,0,0,1
174,15586310,Ting,primary,Accra,Male,30,5,single,0,112187.11,1,0,0,0,1
175,15625524,Rowe,secondary,Accra,Male,40,5,divorced,1,146457.83,1,0,0,0,1
176,15755209,Fu,secondary,Accra,Female,35,5,divorced,1,27286.1,1,0,0,0,1
177,15645248,Ho,secondary,Accra,Female,30,5,married,1,130553.47,0,0,0,0,0
178,15790355,Okechukwu,secondary,Accra,Male,36,5,married,0,179351.89,1,0,0,0,1
179,15762615,Campbell,secondary,Accra,Female,40,5,married,1,94774.12,0,0,0,0,0
180,15625426,Ashbolt,secondary,Accra,Female,55,5,married,0,8080.85,0,0,0,0,0
181,15716334,Rozier,tertiary,Accra,Female,45,5,married,1,19482.5,1,0,0,1,2
182,15789669,Hsia,secondary,Accra,Male,65,5,divorced,1,48071.61,0,0,0,0,0
183,15621075,Ogbonnaya,secondary,Accra,Female,45,5,married,0,174531.27,0,0,0,0,0
184,15810845,T'ang,secondary,Accra,Male,42,5,married,1,55470.78,0,0,0,0,0
185,15719377,Cocci,tertiary,Accra,Female,50,5,married,1,8546.87,1,0,0,1,2
186,15654506,Chang,primary,Accra,Male,32,5,married,0,95857.18,0,0,0,0,0
187,15771977,T'ao,unknown,Accra,Female,39,5,divorced,0,194945.8,0,0,0,0,0
188,15708710,Ford,secondary,Accra,Female,37,5,married,1,131521.72,1,0,0,0,1
189,15726676,Marshall,secondary,Accra,Male,30,5,single,1,196108.51,1,0,0,0,1
190,15587421,Tsai,tertiary,Accra,Female,34,5,single,0,148564.76,1,0,0,1,2
191,15726931,Onwumelu,secondary,Accra,Female,41,5,married,0,92982.61,0,0,0,0,0
192,15771086,Graham,tertiary,Accra,Female,36,5,married,0,17675.36,1,0,0,1,2
193,15756850,Golovanov,tertiary,Accra,Male,40,5,married,0,114996.43,1,0,0,1,2
194,15702741,Potts,secondary,Accra,Male,32,5,married,0,86957.42,0,0,0,0,0
195,15679200,Crawford,secondary,Accra,Male,29,5,married,0,128077.8,0,0,0,0,0
196,15594815,Aleshire,secondary,Accra,Male,35,5,single,1,600.36,0,0,0,0,0
197,15635905,Moran,secondary,Accra,Female,32,5,married,1,43001.46,0,0,0,0,0
198,15777892,Samsonova,tertiary,Accra,Male,37,5,divorced,1,158591.12,1,0,0,1,2
199,15656176,Jenkins,tertiary,Accra,Male,57,5,married,1,47847.19,1,0,0,1,2
200,15811127,Volkov,primary,Accra,Male,35,5,divorced,0,10488.44,0,0,0,0,0
201,15604482,Chiemezie,secondary,Accra,Male,30,5,married,1,5978.2,1,0,0,0,1
202,15622911,Jude,tertiary,Accra,Male,42,5,married,1,121409.06,1,0,0,1,2
203,15600974,He,secondary,Accra,Male,50,5,married,1,146145.93,0,0,0,0,0
204,15727868,Onuora,unknown,Accra,Female,38,5,single,1,14374.86,1,0,0,0,1
205,15627801,Ginikanwa,secondary,Accra,Male,33,5,married,0,94670.77,1,0,0,0,1
206,15773039,Ku,secondary,Accra,Male,37,5,married,1,179670.31,1,0,0,0,1
207,15755262,McDonald,tertiary,Accra,Female,41,5,married,0,199304.74,1,0,0,1,2
208,15679531,Collins,tertiary,Accra,Male,34,5,married,1,151954.39,1,0,0,1,2
209,15684181,Hackett,unknown,Accra,Male,45,5,single,0,142513.5,0,0,0,0,0
210,15612087,Dike,secondary,Accra,Male,45,5,married,1,158264.62,1,0,0,0,1
211,15752047,Trevisano,secondary,Accra,Male,33,5,married,0,169381.9,0,0,0,0,0
212,15624592,Tan,secondary,Accra,Male,31,5,married,1,169915.02,1,0,0,0,1
213,15573152,Glassman,primary,Accra,Female,41,5,divorced,0,88852.47,1,0,0,0,1
214,15594917,Miller,secondary,Accra,Female,34,5,married,1,40645.81,0,0,0,0,0
215,15785542,Kornilova,primary,Accra,Male,26,5,married,0,60427.3,1,0,0,0,1
216,15723488,Watson,tertiary,Accra,Male,47,5,married,1,157959.02,1,0,0,1,2
217,15680920,Marchesi,unknown,Accra,Male,46,5,married,0,133007.34,0,0,0,0,0
218,15786308,Millar,unknown,Accra,Female,33,5,married,0,176576.62,0,0,0,0,0
219,15659366,Shih,primary,Accra,Male,43,5,married,0,34888.04,1,0,0,0,1
220,15774854,Fuller,tertiary,Accra,Male,54,5,married,1,28737.71,1,0,0,1,2
221,15725311,Hay,secondary,Accra,Female,31,5,married,1,98178.57,1,0,0,0,1
222,15787155,Yang,primary,Accra,Male,30,5,married,1,125010.24,0,0,0,0,0
223,15727829,McIntyre,secondary,Accra,Male,42,5,divorced,1,167984.61,0,0,0,0,0
224,15733247,Stevenson,secondary,Accra,Male,33,5,married,0,4861.72,1,0,0,0,1
225,15568748,Poole,unknown,Accra,Male,45,5,divorced,1,108872.45,1,0,0,0,1
226,15699029,Bagley,primary,Accra,Male,37,5,married,0,198252.88,1,0,0,0,1
227,15774393,Ch'ien,unknown,Accra,Female,30,5,married,1,26960.31,1,0,0,0,1
228,15676895,Cattaneo,tertiary,Accra,Female,39,5,single,1,85746.52,1,0,0,1,2
229,15637753,O'Sullivan,unknown,Accra,Male,50,5,married,0,77206.25,0,0,0,0,0
230,15605461,Lucas,secondary,Accra,Female,29,5,divorced,0,61048.53,1,0,0,0,1
231,15808473,Ringrose,primary,Accra,Male,72,5,married,1,111981.19,0,0,0,0,0
232,15627000,Freeman,secondary,Accra,Male,40,5,married,0,62232.6,1,0,0,0,1
233,15787174,Sergeyev,secondary,Accra,Female,37,5,married,1,156105.03,0,0,0,0,0
234,15723886,Fiore,unknown,Accra,Male,20,3,married,1,150135.38,1,0,0,0,1
235,15704769,Smith,primary,Accra,Female,67,5,married,1,93146.11,1,0,0,0,1
236,15772896,Dumetochukwu,primary,Accra,Male,42,5,married,0,33462.94,0,0,0,0,0
237,15711540,Pacheco,secondary,Accra,Female,29,5,divorced,1,144375,1,0,0,0,1
238,15764866,Synnot,primary,Accra,Female,43,5,married,0,55803.96,1,0,0,0,1
239,15794056,Johnston,secondary,Accra,Female,46,5,divorced,0,89048.46,1,0,0,0,1
240,15795149,Stevens,primary,Accra,Male,28,5,divorced,1,162812.16,1,0,0,0,1
241,15812009,Grant,secondary,Accra,Male,38,5,married,0,136259.65,1,0,0,0,1
242,15651001,Tsao,unknown,Accra,Female,39,5,married,0,124052.97,1,0,0,0,1
243,15813844,Barnes,secondary,Accra,Male,37,5,married,1,74158.8,0,0,0,0,0
244,15596175,McIntosh,secondary,Accra,Male,67,5,married,1,45071.09,1,0,0,0,1
245,15576269,Madison,tertiary,Accra,Male,34,5,married,0,62030.06,1,0,0,1,2
246,15797219,Ifesinachi,unknown,Accra,Female,40,5,married,0,131953.23,1,0,0,0,1
247,15685500,Glazkov,secondary,Accra,Male,26,5,single,0,79414,1,0,0,0,1
248,15599792,Dimauro,tertiary,Accra,Female,26,5,married,1,199638.56,1,0,0,1,2
249,15657566,Wieck,secondary,Accra,Male,24,4,married,1,157577.29,0,0,0,0,0
250,15772423,Liao,secondary,Accra,Male,54,5,married,0,134420.75,0,0,0,0,0
251,15628112,Hughes,secondary,Accra,Female,36,5,married,0,99805.99,1,0,0,0,1
252,15753754,Morrison,secondary,Accra,Female,34,5,married,1,97932.68,0,0,0,0,0
253,15793726,Matveyeva,secondary,Accra,Female,79,5,single,1,170968.99,0,0,0,0,0
254,15694717,Ku,secondary,Accra,Male,37,5,divorced,1,57558.95,1,0,0,0,1
255,15665834,Cheatham,tertiary,Accra,Male,28,5,single,0,176713.47,1,0,0,1,2
256,15765297,Yao,primary,Accra,Male,41,5,married,1,34283.23,1,0,0,0,1
257,15636684,Kirkland,secondary,Accra,Male,34,5,divorced,1,198637.34,0,0,0,0,0
258,15592979,Rose,secondary,Accra,Female,34,5,single,0,156917.12,1,0,0,0,1
259,15750803,Jess,secondary,Accra,Female,30,5,married,1,50457.2,0,0,0,0,0
260,15607178,Welch,secondary,Accra,Male,38,5,married,1,140075.55,1,0,0,0,1
261,15713853,Ifeajuna,secondary,Accra,Male,42,5,married,1,65323.11,0,0,0,0,0
262,15673481,Morton,tertiary,Accra,Female,48,5,single,0,64323.24,1,0,0,1,2
263,15686776,Rossi,secondary,Accra,Female,32,5,married,0,14956.44,1,0,0,0,1
264,15673693,Reppert,tertiary,Accra,Female,26,5,divorced,1,111879.21,1,0,0,1,2
265,15700696,Kang,primary,Accra,Male,31,5,married,1,18606.23,0,0,0,0,0
266,15813163,Ch'iu,tertiary,Accra,Female,36,5,single,0,123137.01,1,0,0,1,2
267,15653857,Wallis,tertiary,Accra,Male,34,5,single,1,148528.24,1,0,0,1,2
268,15777076,Clark,secondary,Accra,Male,36,5,divorced,0,13898.31,0,0,0,0,0
269,15717398,Fielding,primary,Accra,Female,39,5,married,0,81259.25,1,0,0,0,1
270,15799217,Zetticci,primary,Accra,Female,35,5,married,0,161051.75,0,0,0,0,0
271,15787071,Dulhunty,tertiary,Accra,Male,41,5,single,1,191599.67,1,0,0,1,2
272,15619955,Bevington,primary,Accra,Male,34,5,divorced,0,48559.19,0,0,0,0,0
273,15796505,Boyle,secondary,Accra,Female,34,5,married,1,186339.74,0,0,0,0,0
274,15725166,Newton,secondary,Accra,Male,30,5,divorced,0,33159.37,0,0,0,0,0
275,15800116,Bowman,secondary,Accra,Male,28,5,married,1,93883.53,0,0,0,0,0
276,15758685,Dubinina,secondary,Accra,Female,37,5,married,1,110899.3,0,0,0,0,0
277,15694456,Toscani,secondary,Accra,Male,62,5,divorced,1,11199.04,1,0,0,0,1
278,15767339,Chiazagomekpere,secondary,Accra,Female,53,5,married,0,189992.97,1,0,0,0,1
279,15683562,Allen,secondary,Accra,Male,35,5,single,1,164255.69,0,0,0,0,0
280,15782210,K'ung,tertiary,Accra,Male,46,5,married,0,152167.79,1,0,0,1,2
281,15668893,Wilsmore,primary,Accra,Male,39,5,married,1,33949.67,0,0,0,0,0
282,15669169,Hargreaves,secondary,Accra,Male,29,5,married,1,68143.93,0,0,0,0,0
283,15643024,Huang,tertiary,Accra,Male,35,5,married,1,47251.79,1,0,0,1,2
284,15699389,Ch'ien,primary,Accra,Male,42,5,married,1,25885.72,1,0,0,0,1
285,15708608,Wallwork,secondary,Accra,Female,22,3,single,1,192633.85,0,0,0,0,0
286,15626144,Chu,secondary,Accra,Male,40,5,single,0,34577.36,1,0,0,0,1
287,15573112,Kang,secondary,Accra,Male,29,5,married,0,161229.84,0,0,0,0,0
288,15790678,Davidson,tertiary,Accra,Female,32,5,single,0,100816.29,1,0,0,1,2
289,15727556,O'Donnell,secondary,Accra,Female,26,5,married,1,181694.44,1,0,0,0,1
290,15697307,Nnachetam,secondary,Accra,Male,34,5,married,0,79078.91,1,0,0,0,1
291,15652266,Chidiebele,tertiary,Accra,Male,42,5,married,1,137316.32,1,0,0,1,2
292,15607098,Ahmed,unknown,Accra,Female,41,5,single,0,194926.86,0,0,0,0,0
293,15655774,Booth,secondary,Accra,Male,27,5,single,0,51285.49,1,0,0,0,1
294,15590241,Chuang,tertiary,Accra,Female,34,5,married,0,150401.53,1,0,0,1,2
295,15785819,Shao,secondary,Accra,Male,38,5,married,1,112491.96,0,0,0,0,0
296,15723654,Tsao,primary,Accra,Male,25,4,divorced,0,73656.38,0,0,0,0,0
297,15774510,Tien,secondary,Accra,Female,31,5,single,1,106636.89,1,0,0,0,1
298,15684173,Chang,secondary,Accra,Female,44,5,single,0,155853.52,0,0,0,0,0
299,15650068,Johnson,primary,Accra,Male,58,5,divorced,1,162599.51,0,0,0,0,0
300,15811490,French,secondary,Accra,Male,33,5,married,1,103737.82,1,0,0,0,1
301,15803976,Efremov,unknown,Accra,Female,31,5,married,0,160990.27,1,0,0,0,1
